timestamp,new_position,prev_position,turnover,cost
2023-01-01 00:00:00+00:00,1.0,1.0,0.0,0.0
2023-01-12 17:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-13 00:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-13 17:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-14 07:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-18 18:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-18 21:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-20 17:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-21 02:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-21 13:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-22 02:00:00+00:00,1.0,-1.0,2.0,0.0
2023-01-25 23:00:00+00:00,-1.0,1.0,2.0,0.0
2023-01-26 02:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-01 21:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-01 22:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-05 18:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-05 21:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-07 19:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-07 22:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-09 21:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-10 00:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-10 17:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-10 18:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-11 14:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-13 08:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-13 09:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-13 20:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-14 13:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-16 03:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-16 04:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-17 06:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-17 19:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-20 07:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-20 18:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-20 22:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-21 01:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-22 00:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-23 11:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-23 20:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-24 14:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-24 22:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-25 20:00:00+00:00,-1.0,1.0,2.0,0.0
2023-02-28 05:00:00+00:00,1.0,-1.0,2.0,0.0
2023-02-28 15:00:00+00:00,-1.0,1.0,2.0,0.0
2023-03-01 08:00:00+00:00,1.0,-1.0,2.0,0.0
2023-03-01 14:00:00+00:00,-1.0,1.0,2.0,0.0
2023-03-02 02:00:00+00:00,1.0,-1.0,2.0,0.0
2023-03-02 04:00:00+00:00,-1.0,1.0,2.0,0.0
2023-03-02 05:00:00+00:00,1.0,-1.0,2.0,0.0
2023-03-02 15:00:00+00:00,-1.0,1.0,2.0,0.0
2023-03-03 07:00:00+00:00,1.0,-1.0,2.0,0.0
2023-03-04 05:00:00+00:00,-1.0,1.0,2.0,0.0
2023-03-07 10:00:00+00:00,1.0,-1.0,2.0,0.0
2023-03-07 11:00:00+00:00,-1.0,1.0,2.0,0.0
2023-03-08 02:00:00+00:00,1.0,-1.0,2.0,0.0
2023-03-09 00:00:00+00:00,-1.0,1.0,2.0,0.0
2023-03-09 02:00:00+00:00,1.0,-1.0,2.0,0.0
2023-03-09 16:00:00+00:00,-1.0,1.0,2.0,0.0
2023-03-10 03:00:00+00:00,1.0,-1.0,2.0,0.0
2023-03-11 21:00:00+00:00,-1.0,1.0,2.0,0.0
2023-03-13 05:00:00+00:00,1.0,-1.0,2.0,0.0
2023-03-13 08:00:00+00:00,-1.0,1.0,2.0,0.0
2023-03-13 20:00:00+00:00,1.0,-1.0,2.0,0.0
2023-03-14 03:00:00+00:00,-1.0,1.0,2.0,0.0
2023-03-15 21:00:00+00:00,1.0,-1.0,2.0,0.0
